ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,corrRound,statusFH
Argentina,2.0,8.0,48.8,50.52,0.0,1.0,0.0,0.0,0.0,0.0,-0.42,-0.42,Free
Australia,1.0,10.0,35.2,50.01,0.0,0.0,0.0,0.0,0.0,0.0,1.98,1.98,Free
Austria,1.0,10.0,29.1,52.36,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,Free
Belgium,1.0,8.0,33.0,51.09,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.33,Free
Benin,2.0,7.0,38.6,51.21,0.0,0.0,0.0,0.0,0.0,1.0,-0.61,-0.61,Free
Botswana,2.5,8.0,61.0,51.17,0.0,0.0,0.0,0.0,0.0,1.0,0.95,0.95,Free
Brazil,2.0,8.0,55.0,50.3,0.0,1.0,0.0,0.0,0.0,0.0,-0.12,-0.12,Free
Bulgaria,2.0,9.0,29.2,50.58,0.0,0.0,0.0,0.0,1.0,0.0,-0.07,-0.07,Free
Canada,1.0,10.0,32.6,50.17,0.0,0.0,0.0,0.0,0.0,0.0,1.94,1.94,Free
Chile,1.0,10.0,52.0,50.61,0.0,1.0,0.0,0.0,0.0,0.0,1.37,1.37,Free
Costa Rica,1.0,10.0,48.9,49.16,0.0,1.0,0.0,0.0,0.0,0.0,0.48,0.48,Free
Croatia,1.5,9.0,29.0,51.78,0.0,0.0,0.0,0.0,1.0,0.0,0.12,0.12,Free
Czech Republic,1.0,8.0,25.8,51.44,0.0,0.0,0.0,0.0,1.0,0.0,0.42,0.42,Free
Denmark,1.0,10.0,24.7,50.56,0.0,0.0,0.0,0.0,0.0,0.0,2.38,2.38,Free
Dominican Republic,2.0,8.0,48.4,49.43,0.0,1.0,0.0,0.0,0.0,0.0,-0.62,-0.62,Free
El Salvador,2.5,8.0,46.9,51.21,0.0,1.0,0.0,0.0,0.0,0.0,-0.29,-0.29,Free
Estonia,1.0,9.0,36.0,54.07,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,Free
Finland,1.0,10.0,26.9,51.48,0.0,0.0,0.0,0.0,0.0,0.0,2.34,2.34,Free
France,1.0,9.0,32.7,51.32,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.42,Free
Germany,1.0,10.0,28.3,52.08,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,Free
Ghana,1.5,8.0,42.8,49.45,0.0,0.0,0.0,0.0,0.0,1.0,-0.03,-0.03,Free
Greece,1.5,10.0,34.3,50.86,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,Free
Guyana,2.5,6.0,43.2,50.56,0.0,0.0,1.0,0.0,0.0,0.0,-0.58,-0.58,Free
Hungary,1.0,10.0,30.0,51.92,0.0,0.0,0.0,0.0,1.0,0.0,0.58,0.58,Free
India,2.5,9.0,36.8,48.02,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,-0.34,Free
Indonesia,2.5,8.0,37.6,49.97,0.0,0.0,0.0,1.0,0.0,0.0,-0.7,-0.7,Free
Ireland,1.0,10.0,34.3,49.95,0.0,0.0,0.0,0.0,0.0,0.0,1.69,1.69,Free
Israel,1.5,10.0,39.2,50.08,1.0,0.0,0.0,0.0,0.0,0.0,0.89,0.89,Free
Italy,1.5,10.0,36.0,51.51,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,Free
Jamaica,2.5,9.0,45.5,51.07,0.0,0.0,1.0,0.0,0.0,0.0,-0.41,-0.41,Free
Japan,1.5,10.0,24.9,50.95,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.29,Free
"Korea, Rep.",1.5,8.0,31.6,49.99,0.0,0.0,0.0,1.0,0.0,0.0,0.53,0.53,Free
Latvia,1.5,8.0,36.3,54.16,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,Free
Lithuania,1.0,10.0,35.8,53.11,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,Free
Mali,2.5,7.0,39.0,50.03,0.0,0.0,0.0,0.0,0.0,1.0,-0.47,-0.47,Free
Mexico,2.5,8.0,51.6,50.33,0.0,1.0,0.0,0.0,0.0,0.0,-0.25,-0.25,Free
Mongolia,2.0,10.0,36.6,50.18,0.0,0.0,0.0,1.0,0.0,0.0,-0.62,-0.62,Free
Namibia,2.0,6.0,74.3,50.96,0.0,0.0,0.0,0.0,0.0,1.0,0.28,0.28,Free
Netherlands,1.0,10.0,30.9,50.38,0.0,0.0,0.0,0.0,0.0,0.0,2.06,2.06,Free
New Zealand,1.0,10.0,36.2,50.34,0.0,0.0,0.0,0.0,0.0,0.0,2.28,2.28,Free
Norway,1.0,10.0,25.8,50.4,0.0,0.0,0.0,0.0,0.0,0.0,1.95,1.95,Free
Panama,1.5,9.0,54.9,49.26,0.0,1.0,0.0,0.0,0.0,0.0,-0.31,-0.31,Free
Peru,2.5,9.0,50.5,49.72,0.0,1.0,0.0,0.0,0.0,0.0,-0.31,-0.31,Free
Poland,1.0,10.0,34.9,51.42,0.0,0.0,0.0,0.0,1.0,0.0,0.35,0.35,Free
Portugal,1.0,10.0,38.5,51.98,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.04,Free
Romania,2.0,9.0,32.1,50.93,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-0.1,Free
Slovak Republic,1.0,10.0,25.8,51.07,0.0,0.0,0.0,0.0,1.0,0.0,0.44,0.44,Free
Slovenia,1.0,10.0,31.2,51.59,0.0,0.0,0.0,0.0,1.0,0.0,1.01,1.01,Free
South Africa,2.0,9.0,57.8,50.44,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.33,Free
Spain,1.0,10.0,34.7,51.07,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,Free
Sweden,1.0,10.0,25.0,50.39,0.0,0.0,0.0,0.0,0.0,0.0,2.15,2.15,Free
Switzerland,1.0,10.0,33.7,51.23,0.0,0.0,0.0,0.0,0.0,0.0,2.06,2.06,Free
Trinidad and Tobago,2.0,10.0,40.3,50.62,0.0,0.0,1.0,0.0,0.0,0.0,-0.11,-0.11,Free
Ukraine,2.5,7.0,27.6,54.26,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,-0.72,Free
United Kingdom,1.0,10.0,36.0,51.36,0.0,0.0,0.0,0.0,0.0,0.0,1.71,1.71,Free
United States,1.0,10.0,40.8,50.85,0.0,0.0,0.0,0.0,0.0,0.0,1.34,1.34,Free
Uruguay,1.0,10.0,47.1,51.02,0.0,1.0,0.0,0.0,0.0,0.0,1.11,1.11,Free
