ctry;fh09;polity09;gini;fparl08;mena;lati;cari;east;sovi;afri;corr0509
Uzbekistan;7,0;-9,0;36,7;50,78;0;0;0;0;0;0;-1,07
Vanuatu;2,0;;;48,10;0;0;0;0;0;0;0,35
Venezuela, RB;4,5;-3,0;43,4;49,48;0;1;0;0;0;0;-1,06
Vietnam;6,0;-7,0;37,8;50,86;0;0;0;1;0;0;-0,66
Virgin Islands (U.S.);;;;51,45;0;0;0;0;0;0;0,83
West Bank and Gaza;;;;48,79;0;0;0;0;0;0;-0,91
Yemen, Rep.;5,5;-2,0;37,7;49,69;1;0;0;0;0;0;-0,81
Zambia;3,5;7,0;50,7;50,28;0;0;0;0;0;1;-0,60
Zimbabwe;6,0;1,0;50,1;50,52;0;0;0;0;0;1;-1,38
;;;;;;;;;;;
Count (non-blank cells);191;159;146;191;213;213;213;213;213;213;203
Mean;3,3;3,6;40,8;50,13;19;20;18;17;14;48;-0,02
Standard Deviation;2,0;6,3;9,4;2,24;;;;;;;1,00
;;;;;;;;;;;
Mean of 19 MENA countries;5,2;-3,3;38,4;46,81;1,00;0,00;0,00;0,00;0,00;0,00;-0,10
Mean of 20 LATI countries;2,9;6,7;52,2;50,08;0,00;1,00;0,00;0,00;0,00;0,00;-0,33
Median of 19 MENA countries;5,5;-6,0;38,3;49,36;1,00;0,00;0,00;0,00;0,00;0,00;-0,03
Median of 20 LATI countries;2,8;8,0;52,3;50,00;0,00;1,00;0,00;0,00;0,00;0,00;-0,37
